id,config_file_path,strategy,market,symbol,base_asset,quote_asset,creation_timestamp,order_type,amount,price,last_status,last_update_timestamp
buy://ETH-USDC/fe1270c7836c3bd98ca3541d9d,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974607001,LIMIT,0.1,214.0179,OrderCancelled,1588974667001
sell://ETH-USDC/b596c7cb6a28f47fc5ecfe0f60,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974607011,LIMIT,0.1,214.2321,SellOrderCompleted,1588974662011
buy://ETH-USDC/88050900036104d490c06c8286,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974722002,LIMIT,0.1,214.1079,OrderCancelled,1588974782002
sell://ETH-USDC/130dca00f1506c6c66a4265ccc,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974722016,LIMIT,0.1,214.3221,OrderCancelled,1588974782013
buy://ETH-USDC/ab0ab64090936497d374d17817,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974783001,LIMIT,0.1,214.1029,OrderCancelled,1588974843001
sell://ETH-USDC/f350f3f2e96b00395694feb7c6,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974783014,LIMIT,0.1,214.3171,OrderCancelled,1588974843013
buy://ETH-USDC/2310e0f63e260fac6da9919cf1,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974844001,LIMIT,0.1,214.0779,OrderCancelled,1588974904001
sell://ETH-USDC/2c94c876b4c4dff7b3aa00355d,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974844014,LIMIT,0.1,214.2921,OrderCancelled,1588974904016
buy://ETH-USDC/5fb9b3c21c38ce017ef6757b56,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974905002,LIMIT,0.1,214.0479,OrderCancelled,1588974965001
sell://ETH-USDC/79f162d5cb5e192ea15d1c1262,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974905015,LIMIT,0.1,214.2621,OrderCancelled,1588974965015
buy://ETH-USDC/bad0aeda0b1a9f0bbe1f1a1d78,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974966000,LIMIT,0.1,214.0529,BuyOrderCompleted,1588975011013
sell://ETH-USDC/36c311d75c9de625e913df63fe,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588974966011,LIMIT,0.1,214.2671,OrderCancelled,1588975026001
buy://ETH-USDC/aaa2cbdf33c2b59ef96e3deaf3,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975071001,LIMIT,0.1,213.6031,BuyOrderCompleted,1588975121015
sell://ETH-USDC/277d636e29fc4573b9cf5e87c2,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975071015,LIMIT,0.1,213.8169,OrderCancelled,1588975131001
buy://ETH-USDC/81fe384aebd418d5305ff66908,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975181000,LIMIT,0.1,212.4887,BuyOrderCompleted,1588975197013
sell://ETH-USDC/233950f19be2c28945d3a58c11,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975181013,LIMIT,0.1,212.7013,OrderCancelled,1588975241002
buy://ETH-USDC/30196340f904487544d6b4d41a,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975257002,LIMIT,0.1,212.5637,OrderCancelled,1588975317002
sell://ETH-USDC/8896a6862f28315f1533efe94e,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975257013,LIMIT,0.1,212.7763,OrderCancelled,1588975317019
buy://ETH-USDC/abe42c6769c6d7e4c78375d8f0,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975318002,LIMIT,0.1,212.5187,OrderCancelled,1588975378001
sell://ETH-USDC/3b9ac00e9860aec79f579305f1,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975318017,LIMIT,0.1,212.7313,SellOrderCompleted,1588975349016
buy://ETH-USDC/4c3b916ffe431b2b2784950316,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975409001,LIMIT,0.1,212.8385,OrderCancelled,1588975411970
sell://ETH-USDC/82fbc8e8eed17eb8f18970e6c9,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975409011,LIMIT,0.1,213.0515,OrderCancelled,1588975411981
buy://ETH-USDC/c1ef939ae545da13abfc550bfb,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975542004,LIMIT,0.2,212.7736,OrderCancelled,1588975602001
buy://ETH-USDC/5da58cd07a60e0a740bff07f19,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975603003,LIMIT,0.2,212.7886,OrderCancelled,1588975663002
buy://ETH-USDC/c94c590b5ce93c4084ab0eecbd,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975664002,LIMIT,0.2,212.8385,OrderCancelled,1588975724001
buy://ETH-USDC/9a56c63b85de04d55217eccd84,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975725002,LIMIT,0.2,212.8435,OrderCancelled,1588975785002
buy://ETH-USDC/7c2f94f6cc16632b9b70eb1431,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975786002,LIMIT,0.2,212.8085,OrderCancelled,1588975846001
buy://ETH-USDC/fa438f2c735cb3a981f1f803d0,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975847002,LIMIT,0.2,212.6936,OrderCancelled,1588975907001
buy://ETH-USDC/8eeb1f67eeb83393e616371c4e,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975908001,LIMIT,0.2,212.8085,OrderCancelled,1588975968002
buy://ETH-USDC/823117dd5c84ca9cc2dab1c543,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588975969001,LIMIT,0.2,212.7736,OrderCancelled,1588976029002
buy://ETH-USDC/0ee9d4cd08ddfb6b3eb8dc2542,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588976030002,LIMIT,0.2,212.6636,OrderCancelled,1588976090001
buy://ETH-USDC/ae180f3e0036c6027e94126035,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588976091001,LIMIT,0.2,212.7036,OrderCancelled,1588976151002
buy://ETH-USDC/83e078d34f509ffeb1d110ce61,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588976152002,LIMIT,0.2,212.8185,OrderCancelled,1588976212002
buy://ETH-USDC/7194299638048208f6a32cb3c9,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588976213002,LIMIT,0.2,212.8335,OrderCancelled,1588976273001
buy://ETH-USDC/d7537368ba565f1ad2d68d9679,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1588976274001,LIMIT,0.2,212.9385,OrderCancelled,1588976334001
