id,order_id,timestamp,status
1,buy://ETH-USDC/fe1270c7836c3bd98ca3541d9d,1588974607001,BuyOrderCreated
2,sell://ETH-USDC/b596c7cb6a28f47fc5ecfe0f60,1588974607011,SellOrderCreated
3,sell://ETH-USDC/b596c7cb6a28f47fc5ecfe0f60,1588974662001,OrderFilled
4,sell://ETH-USDC/b596c7cb6a28f47fc5ecfe0f60,1588974662011,SellOrderCompleted
5,buy://ETH-USDC/fe1270c7836c3bd98ca3541d9d,1588974667001,OrderCancelled
6,buy://ETH-USDC/88050900036104d490c06c8286,1588974722002,BuyOrderCreated
7,sell://ETH-USDC/130dca00f1506c6c66a4265ccc,1588974722016,SellOrderCreated
8,buy://ETH-USDC/88050900036104d490c06c8286,1588974782002,OrderCancelled
9,sell://ETH-USDC/130dca00f1506c6c66a4265ccc,1588974782013,OrderCancelled
10,buy://ETH-USDC/ab0ab64090936497d374d17817,1588974783001,BuyOrderCreated
11,sell://ETH-USDC/f350f3f2e96b00395694feb7c6,1588974783014,SellOrderCreated
12,buy://ETH-USDC/ab0ab64090936497d374d17817,1588974843001,OrderCancelled
13,sell://ETH-USDC/f350f3f2e96b00395694feb7c6,1588974843013,OrderCancelled
14,buy://ETH-USDC/2310e0f63e260fac6da9919cf1,1588974844001,BuyOrderCreated
15,sell://ETH-USDC/2c94c876b4c4dff7b3aa00355d,1588974844014,SellOrderCreated
16,buy://ETH-USDC/2310e0f63e260fac6da9919cf1,1588974904001,OrderCancelled
17,sell://ETH-USDC/2c94c876b4c4dff7b3aa00355d,1588974904016,OrderCancelled
18,buy://ETH-USDC/5fb9b3c21c38ce017ef6757b56,1588974905002,BuyOrderCreated
19,sell://ETH-USDC/79f162d5cb5e192ea15d1c1262,1588974905015,SellOrderCreated
20,buy://ETH-USDC/5fb9b3c21c38ce017ef6757b56,1588974965001,OrderCancelled
21,sell://ETH-USDC/79f162d5cb5e192ea15d1c1262,1588974965015,OrderCancelled
22,buy://ETH-USDC/bad0aeda0b1a9f0bbe1f1a1d78,1588974966000,BuyOrderCreated
23,sell://ETH-USDC/36c311d75c9de625e913df63fe,1588974966011,SellOrderCreated
24,buy://ETH-USDC/bad0aeda0b1a9f0bbe1f1a1d78,1588975011001,OrderFilled
25,buy://ETH-USDC/bad0aeda0b1a9f0bbe1f1a1d78,1588975011013,BuyOrderCompleted
26,sell://ETH-USDC/36c311d75c9de625e913df63fe,1588975026001,OrderCancelled
27,buy://ETH-USDC/aaa2cbdf33c2b59ef96e3deaf3,1588975071001,BuyOrderCreated
28,sell://ETH-USDC/277d636e29fc4573b9cf5e87c2,1588975071015,SellOrderCreated
29,buy://ETH-USDC/aaa2cbdf33c2b59ef96e3deaf3,1588975121001,OrderFilled
30,buy://ETH-USDC/aaa2cbdf33c2b59ef96e3deaf3,1588975121015,BuyOrderCompleted
31,sell://ETH-USDC/277d636e29fc4573b9cf5e87c2,1588975131001,OrderCancelled
32,buy://ETH-USDC/81fe384aebd418d5305ff66908,1588975181000,BuyOrderCreated
33,sell://ETH-USDC/233950f19be2c28945d3a58c11,1588975181013,SellOrderCreated
34,buy://ETH-USDC/81fe384aebd418d5305ff66908,1588975197000,OrderFilled
35,buy://ETH-USDC/81fe384aebd418d5305ff66908,1588975197013,BuyOrderCompleted
36,sell://ETH-USDC/233950f19be2c28945d3a58c11,1588975241002,OrderCancelled
37,buy://ETH-USDC/30196340f904487544d6b4d41a,1588975257002,BuyOrderCreated
38,sell://ETH-USDC/8896a6862f28315f1533efe94e,1588975257013,SellOrderCreated
39,buy://ETH-USDC/30196340f904487544d6b4d41a,1588975317002,OrderCancelled
40,sell://ETH-USDC/8896a6862f28315f1533efe94e,1588975317019,OrderCancelled
41,buy://ETH-USDC/abe42c6769c6d7e4c78375d8f0,1588975318002,BuyOrderCreated
42,sell://ETH-USDC/3b9ac00e9860aec79f579305f1,1588975318017,SellOrderCreated
43,sell://ETH-USDC/3b9ac00e9860aec79f579305f1,1588975349000,OrderFilled
44,sell://ETH-USDC/3b9ac00e9860aec79f579305f1,1588975349016,SellOrderCompleted
45,buy://ETH-USDC/abe42c6769c6d7e4c78375d8f0,1588975378001,OrderCancelled
46,buy://ETH-USDC/4c3b916ffe431b2b2784950316,1588975409001,BuyOrderCreated
47,sell://ETH-USDC/82fbc8e8eed17eb8f18970e6c9,1588975409011,SellOrderCreated
48,buy://ETH-USDC/4c3b916ffe431b2b2784950316,1588975411970,OrderCancelled
49,sell://ETH-USDC/82fbc8e8eed17eb8f18970e6c9,1588975411981,OrderCancelled
50,buy://ETH-USDC/c1ef939ae545da13abfc550bfb,1588975542004,BuyOrderCreated
51,buy://ETH-USDC/c1ef939ae545da13abfc550bfb,1588975602001,OrderCancelled
52,buy://ETH-USDC/5da58cd07a60e0a740bff07f19,1588975603003,BuyOrderCreated
53,buy://ETH-USDC/5da58cd07a60e0a740bff07f19,1588975663002,OrderCancelled
54,buy://ETH-USDC/c94c590b5ce93c4084ab0eecbd,1588975664002,BuyOrderCreated
55,buy://ETH-USDC/c94c590b5ce93c4084ab0eecbd,1588975724001,OrderCancelled
56,buy://ETH-USDC/9a56c63b85de04d55217eccd84,1588975725002,BuyOrderCreated
